timestamp,symbol,side,size,price,tickDirection,trdMatchID,grossValue,homeNotional,foreignNotional,RPI
1763251200.117,BTCUSDT,Buy,0.017,95559.10,ZeroPlusTick,f92296cf-66aa-5ef7-b58d-7f3f13db974d,1.6245047000000003e+11,0.017,1624.5047000000002,0
1763251200.3252,BTCUSDT,Sell,0.009,95559.00,MinusTick,07209574-4501-5c0f-b4fa-5fca287f0efc,8.60031e+10,0.009,860.031,0
1763251200.4488,BTCUSDT,Buy,0.001,95559.10,PlusTick,b2ac7a04-05ea-5105-ad24-1d1702b56f70,9.55591e+09,0.001,95.5591,0
1763251200.5506,BTCUSDT,Buy,0.233,95559.10,ZeroPlusTick,ba79ca1a-f0cf-5acc-840b-9d17cfef7d6a,2.2265270300000005e+12,0.233,22265.270300000004,0
1763251200.5506,BTCUSDT,Buy,0.001,95559.10,ZeroPlusTick,4c7b7aca-496a-58c4-bd20-748ac6ec0820,9.55591e+09,0.001,95.5591,0
1763251200.5506,BTCUSDT,Buy,0.001,95559.10,ZeroPlusTick,9a63f0f7-ff02-550b-867d-d23b6a6db2ce,9.55591e+09,0.001,95.5591,0
1763251200.5506,BTCUSDT,Buy,0.265,95559.10,ZeroPlusTick,0bdb5a08-0e52-56c8-a652-a891a1c60afc,2.53231615e+12,0.265,25323.161500000002,0
1763251200.7214,BTCUSDT,Buy,0.002,95559.10,ZeroPlusTick,431be008-df81-5859-b0cd-9ec5dd8940d2,1.911182e+10,0.002,191.1182,0
1763251200.7214,BTCUSDT,Buy,0.006,95559.10,ZeroPlusTick,6bfa0e4a-1583-5160-9595-b093180c72e7,5.733546e+10,0.006,573.3546,0
1763251200.7214,BTCUSDT,Buy,0.001,95559.10,ZeroPlusTick,2fbe61f5-598d-5497-9de9-edeccbe9e27f,9.55591e+09,0.001,95.5591,0
1763251200.7214,BTCUSDT,Buy,0.003,95559.10,ZeroPlusTick,f06b3089-293d-5f5f-803d-87daf452b044,2.866773e+10,0.003,286.6773,0
1763251200.7214,BTCUSDT,Buy,0.005,95559.10,ZeroPlusTick,5e191ebb-8821-50e1-a86a-83f9b7960e95,4.777955000000001e+10,0.005,477.79550000000006,0
1763251200.7214,BTCUSDT,Buy,0.008,95559.10,ZeroPlusTick,8cad45be-9f47-5213-afcb-0737da839a58,7.644728e+10,0.008,764.4728,0
1763251200.7214,BTCUSDT,Buy,0.001,95559.10,ZeroPlusTick,07de420a-e39c-5a85-908f-ae5aa03f7c3c,9.55591e+09,0.001,95.5591,0
1763251200.7214,BTCUSDT,Buy,0.003,95559.10,ZeroPlusTick,079d0910-4e47-5014-a5a1-6921a78d2998,2.866773e+10,0.003,286.6773,0
1763251200.7214,BTCUSDT,Buy,0.002,95559.10,ZeroPlusTick,e3acf367-d032-5ae9-8296-d44351df9ed4,1.911182e+10,0.002,191.1182,0
1763251200.7214,BTCUSDT,Buy,0.093,95559.10,ZeroPlusTick,4c028c09-abf6-5d97-ac9e-11e4e7d3099f,8.886996300000001e+11,0.093,8886.9963,0
1763251200.7261,BTCUSDT,Buy,0.001,95559.20,PlusTick,5ea03145-7ac4-56c3-a6d7-6d4c1747687f,9.55592e+09,0.001,95.5592,0
1763251200.7261,BTCUSDT,Buy,0.001,95559.20,ZeroPlusTick,6f9d6036-f80e-5197-a758-dbe063771ceb,9.55592e+09,0.001,95.5592,0
1763251200.8841,BTCUSDT,Buy,0.003,95559.30,PlusTick,c472a4ba-0631-53b1-9b5b-6c5822cf153c,2.8667790000000004e+10,0.003,286.6779,0
1763251200.8847,BTCUSDT,Buy,0.001,95559.30,ZeroPlusTick,3d98801c-01f5-5ff4-9391-a6ca3f489629,9.55593e+09,0.001,95.55930000000001,0
1763251200.8847,BTCUSDT,Buy,0.002,95559.30,ZeroPlusTick,533d64ad-cf70-57fd-8848-941643b6d7d5,1.911186e+10,0.002,191.11860000000001,0
1763251200.8859,BTCUSDT,Buy,0.002,95559.30,ZeroPlusTick,3cf736b5-82db-5a1d-8bb4-e1832ef4f9b6,1.911186e+10,0.002,191.11860000000001,0
1763251200.8859,BTCUSDT,Buy,0.004,95559.30,ZeroPlusTick,3a68964b-b7d7-5b66-b7d2-fd399111b0e2,3.822372e+10,0.004,382.23720000000003,0
1763251200.8859,BTCUSDT,Buy,0.009,95559.30,ZeroPlusTick,7db443a6-d387-5d58-a242-78e13927268c,8.600337e+10,0.009,860.0337,0
1763251200.8859,BTCUSDT,Buy,0.001,95559.30,ZeroPlusTick,0e54cfc5-2d8b-5ed2-9513-ead5bf446901,9.55593e+09,0.001,95.55930000000001,0
1763251200.8859,BTCUSDT,Buy,0.029,95559.30,ZeroPlusTick,1eafeebd-dbc9-559a-b586-76b151e89ecf,2.7712197e+11,0.029,2771.2197,0
1763251200.8859,BTCUSDT,Buy,0.002,95559.30,ZeroPlusTick,af15b4b9-d77c-5988-b23d-425bdca8c557,1.911186e+10,0.002,191.11860000000001,0
1763251200.897,BTCUSDT,Buy,0.003,95559.60,PlusTick,4904c9f7-dc55-524d-8ffc-b794b7826cef,2.8667880000000004e+10,0.003,286.6788,0
1763251200.897,BTCUSDT,Buy,0.001,95559.60,ZeroPlusTick,319e9402-691a-5a79-bce3-610621de3ae3,9.55596e+09,0.001,95.5596,0
1763251201.2645,BTCUSDT,Buy,0.001,95559.80,PlusTick,2b0790f5-378b-55d2-bf50-0271964caac5,9.555980000000002e+09,0.001,95.55980000000001,0
1763251201.2952,BTCUSDT,Sell,0.019,95559.70,MinusTick,69bb24c5-54cc-5142-843a-8e4a57146bcb,1.8156343e+11,0.019,1815.6343,0
1763251201.4057,BTCUSDT,Sell,0.002,95559.70,ZeroMinusTick,b5ad8794-f425-53eb-a5f0-bef15bdc5761,1.911194e+10,0.002,191.11939999999998,0
1763251201.5692,BTCUSDT,Buy,0.003,95559.80,PlusTick,4fe2bce1-5dae-5a55-aa23-91ee037408d6,2.866794e+10,0.003,286.6794,0
1763251201.5692,BTCUSDT,Buy,0.004,95559.80,ZeroPlusTick,236a2698-f3e3-5e4d-b1cd-ed059e06f758,3.822392000000001e+10,0.004,382.23920000000004,0
1763251201.5692,BTCUSDT,Buy,0.009,95559.80,ZeroPlusTick,8a2bcf0d-2506-5327-9214-53714052b3f4,8.600382e+10,0.009,860.0382,0
1763251201.5692,BTCUSDT,Buy,0.001,95559.80,ZeroPlusTick,9907fdc9-b522-50d4-a1ff-5ff5f672d2ee,9.555980000000002e+09,0.001,95.55980000000001,0
1763251201.5692,BTCUSDT,Buy,0.002,95559.80,ZeroPlusTick,8afee140-2c80-5315-8005-4ea6078a6e7c,1.9111960000000004e+10,0.002,191.11960000000002,0
1763251201.5692,BTCUSDT,Buy,0.002,95559.80,ZeroPlusTick,3e774902-b093-501f-bd90-a7323ae4383e,1.9111960000000004e+10,0.002,191.11960000000002,0
1763251201.5692,BTCUSDT,Buy,0.001,95559.80,ZeroPlusTick,bb582d35-9a31-5be4-b600-9f0ab2088378,9.555980000000002e+09,0.001,95.55980000000001,0
1763251201.5692,BTCUSDT,Buy,0.001,95560.00,PlusTick,8ec3dce2-6eda-5147-90ed-c3d9c1694960,9.556e+09,0.001,95.56,0
1763251201.5692,BTCUSDT,Buy,0.001,95560.00,ZeroPlusTick,8ccd7392-3046-5d72-8579-7daba55184bb,9.556e+09,0.001,95.56,0
1763251201.5692,BTCUSDT,Buy,0.038,95560.00,ZeroPlusTick,9848dcc7-41e3-5dd4-9ce2-7845d9378983,3.63128e+11,0.038,3631.2799999999997,0
1763251201.6061,BTCUSDT,Buy,0.022,95560.00,ZeroPlusTick,441bcd04-3c86-5a4f-92f7-3d0f67076e36,2.1023199999999997e+11,0.022,2102.3199999999997,0
1763251201.6103,BTCUSDT,Buy,0.04,95560.00,ZeroPlusTick,533a71b4-1f3f-5286-b553-4589fa9eb524,3.8224e+11,0.04,3822.4,0
1763251201.6103,BTCUSDT,Buy,0.001,95560.00,ZeroPlusTick,35b2d2b8-ac5d-5453-a1ff-7a2c65cbdeff,9.556e+09,0.001,95.56,0
1763251201.7076,BTCUSDT,Buy,0.003,95560.00,ZeroPlusTick,a83171da-c704-5e9b-a9cf-114ae8c8149a,2.8668e+10,0.003,286.68,0
1763251201.7076,BTCUSDT,Buy,0.001,95560.00,ZeroPlusTick,c9adcb04-cc88-5393-a3c4-836d6ba978fd,9.556e+09,0.001,95.56,0
1763251201.7097,BTCUSDT,Buy,0.084,95560.00,ZeroPlusTick,51151a4f-0720-5ca5-80ee-37ed39b0ce23,8.027040000000001e+11,0.084,8027.040000000001,0
1763251201.8868,BTCUSDT,Buy,0.004,95560.20,PlusTick,b9fd33a6-0912-59cc-94b8-36170b363999,3.822408e+10,0.004,382.2408,0
1763251201.8868,BTCUSDT,Buy,0.004,95560.20,ZeroPlusTick,f63cc6bd-2b71-55ed-990f-545c1ca1fec7,3.822408e+10,0.004,382.2408,0
1763251201.8868,BTCUSDT,Buy,0.009,95560.20,ZeroPlusTick,55aa13fc-e90e-56e3-afd5-a3d3bb5ee94d,8.600417999999998e+10,0.009,860.0417999999999,0
1763251201.8868,BTCUSDT,Buy,0.004,95560.20,ZeroPlusTick,93387483-b625-5bb4-97ad-2a620668bfbb,3.822408e+10,0.004,382.2408,0
1763251201.8868,BTCUSDT,Buy,0.002,95560.20,ZeroPlusTick,64e77804-e600-587a-9aca-dbc853534385,1.911204e+10,0.002,191.1204,0
1763251201.8868,BTCUSDT,Buy,0.001,95560.50,PlusTick,11c4643f-3e0c-5461-89eb-d1978847b86e,9.55605e+09,0.001,95.5605,0
1763251201.8868,BTCUSDT,Buy,0.002,95560.60,PlusTick,9e71ec7e-dd94-53f8-9408-18aac1345b22,1.911212e+10,0.002,191.12120000000002,0
1763251201.8871,BTCUSDT,Buy,0.001,95562.30,PlusTick,ead8539b-5dad-5c72-9764-056d87eb8305,9.55623e+09,0.001,95.56230000000001,0
1763251201.8871,BTCUSDT,Buy,0.001,95562.60,PlusTick,23c1e927-4155-5380-baf7-b6289c22da97,9.55626e+09,0.001,95.5626,0
1763251201.8871,BTCUSDT,Buy,0.003,95563.40,PlusTick,8a6eaf93-27ca-53bb-bea5-0a7f896bcdbb,2.866902e+10,0.003,286.6902,0
1763251201.8871,BTCUSDT,Buy,0.003,95563.40,ZeroPlusTick,044aa9e9-fde4-5efb-a927-e53f987e3d54,2.866902e+10,0.003,286.6902,0
1763251201.8871,BTCUSDT,Buy,0.001,95563.60,PlusTick,5c355f80-a490-5749-86d4-c49683e78da1,9.55636e+09,0.001,95.56360000000001,0
1763251201.8871,BTCUSDT,Buy,0.001,95564.70,PlusTick,51c3f514-1aa2-5a72-b939-3ff776274cf8,9.55647e+09,0.001,95.5647,0
1763251201.8871,BTCUSDT,Buy,0.001,95565.60,PlusTick,8a4d89e7-5cf5-5d61-9215-c4fa02cd04b9,9.55656e+09,0.001,95.5656,0
1763251201.8871,BTCUSDT,Buy,0.004,95565.80,PlusTick,3d69a33e-884c-5020-bbde-8ad7fd503f33,3.822632000000001e+10,0.004,382.26320000000004,0
1763251201.8871,BTCUSDT,Buy,0.004,95565.80,ZeroPlusTick,47300ec6-2059-582e-a1c8-e317bfaf4a53,3.822632000000001e+10,0.004,382.26320000000004,0
1763251201.8871,BTCUSDT,Buy,0.004,95565.80,ZeroPlusTick,bc8b1618-67cd-5961-b272-cfe94707db8b,3.822632000000001e+10,0.004,382.26320000000004,0
1763251201.8871,BTCUSDT,Buy,0.004,95565.80,ZeroPlusTick,aa02a85d-e764-5d2c-ad4f-52cc1151a83f,3.822632000000001e+10,0.004,382.26320000000004,0
1763251201.8871,BTCUSDT,Buy,0.004,95565.80,ZeroPlusTick,80f3af3d-adc3-557f-9cb6-1a0b5b6d261c,3.822632000000001e+10,0.004,382.26320000000004,0
1763251201.8871,BTCUSDT,Buy,0.001,95566.90,PlusTick,5bf97f05-42cd-5a58-8339-9b6051303277,9.556689999999998e+09,0.001,95.56689999999999,0
1763251201.8871,BTCUSDT,Buy,0.016,95566.90,ZeroPlusTick,99aeb2d3-8414-5fc1-bd78-232c55de672a,1.5290703999999997e+11,0.016,1529.0703999999998,0
1763251201.8871,BTCUSDT,Buy,0.005,95567.90,PlusTick,87254807-aa2c-582b-a093-d0db7ccfff98,4.778395e+10,0.005,477.8395,0
1763251201.8871,BTCUSDT,Buy,0.001,95568.00,PlusTick,b6d2302c-b2f5-5449-9b90-e24a1f6fc1f6,9.5568e+09,0.001,95.568,0
1763251201.8871,BTCUSDT,Buy,0.1,95568.00,ZeroPlusTick,332f1800-f199-5dcf-b270-c17de3271644,9.556800000000001e+11,0.1,9556.800000000001,0
1763251201.8958,BTCUSDT,Buy,0.001,95568.10,PlusTick,c1c4a55b-1fe9-5e1a-bb65-dc67b2bf946d,9.55681e+09,0.001,95.5681,0
1763251201.8958,BTCUSDT,Buy,0.004,95568.10,ZeroPlusTick,14e61c91-b01f-56a2-a996-e9ab65a2ef4f,3.822724e+10,0.004,382.2724,0
1763251201.896,BTCUSDT,Buy,0.001,95568.10,ZeroPlusTick,949e0963-4698-54a4-9cef-c4c96a2c1e6a,9.55681e+09,0.001,95.5681,0
1763251201.896,BTCUSDT,Buy,0.002,95568.20,PlusTick,252a4235-d0dd-5e0f-878f-1e9660fcf21a,1.911364e+10,0.002,191.1364,0
1763251201.8966,BTCUSDT,Buy,0.001,95568.10,MinusTick,718d93fe-f8c3-5400-8818-1bf5377d6654,9.55681e+09,0.001,95.5681,0
1763251201.8983,BTCUSDT,Buy,0.004,95568.30,PlusTick,036da969-a250-5a1c-99c6-7d1839887601,3.822732e+10,0.004,382.27320000000003,0
1763251201.8983,BTCUSDT,Buy,0.004,95568.30,ZeroPlusTick,413cfcd4-a870-57a7-a6a3-8fdcb2927902,3.822732e+10,0.004,382.27320000000003,0
1763251202.039,BTCUSDT,Sell,0.004,95568.20,MinusTick,806cecea-616e-5412-a0b3-ef6c76b2f074,3.822728e+10,0.004,382.2728,0
1763251202.0439,BTCUSDT,Buy,0.001,95568.30,PlusTick,7286dcb2-35d2-5858-966a-788ce441b09e,9.55683e+09,0.001,95.56830000000001,0
1763251202.0445,BTCUSDT,Buy,0.002,95568.30,ZeroPlusTick,885a14ee-636a-5649-88e6-6a652833d4b1,1.911366e+10,0.002,191.13660000000002,0
1763251202.2045,BTCUSDT,Buy,0.002,95568.30,ZeroPlusTick,1f53433e-6745-55a8-aa5c-ef779b354893,1.911366e+10,0.002,191.13660000000002,0
1763251202.2045,BTCUSDT,Buy,0.004,95568.30,ZeroPlusTick,edd1c734-1e2d-5a77-a632-52c22eecad8b,3.822732e+10,0.004,382.27320000000003,0
1763251202.2045,BTCUSDT,Buy,0.001,95568.30,ZeroPlusTick,e4d30b5c-1a38-5488-bfe4-705063a533ef,9.55683e+09,0.001,95.56830000000001,0
1763251202.2045,BTCUSDT,Buy,0.003,95568.30,ZeroPlusTick,bb336496-848c-53f9-a13e-28fe13f343c3,2.867049e+10,0.003,286.7049,0
1763251202.2169,BTCUSDT,Buy,0.001,95568.30,ZeroPlusTick,594399fa-836a-50b8-b393-2af809342346,9.55683e+09,0.001,95.56830000000001,0
1763251202.2169,BTCUSDT,Buy,0.002,95568.30,ZeroPlusTick,e825c9a1-01ae-5310-87af-e02a487bf132,1.911366e+10,0.002,191.13660000000002,0
1763251202.2169,BTCUSDT,Buy,0.001,95568.30,ZeroPlusTick,57b5f14b-ffc4-591e-a35d-87568ffb02aa,9.55683e+09,0.001,95.56830000000001,0
1763251202.2169,BTCUSDT,Buy,0.003,95569.20,PlusTick,7801a306-7698-5e14-ba50-3a1ffa916c28,2.867076e+10,0.003,286.7076,0
1763251202.7629,BTCUSDT,Buy,0.001,95569.80,PlusTick,502eb603-cd2b-580d-9ba6-991e3c4c43a5,9.55698e+09,0.001,95.5698,0
1763251202.7629,BTCUSDT,Buy,0.003,95569.80,ZeroPlusTick,1a4be1f6-d69e-51de-b138-76586cce4b13,2.867094e+10,0.003,286.7094,0
1763251202.7891,BTCUSDT,Buy,0.002,95569.80,ZeroPlusTick,04aae0d9-d6b3-5f51-994f-0d4c863d8a97,1.911396e+10,0.002,191.1396,0
1763251202.8021,BTCUSDT,Buy,0.001,95569.80,ZeroPlusTick,dc41647a-e7e7-5dcb-984f-e2e13737a17b,9.55698e+09,0.001,95.5698,0
1763251202.8054,BTCUSDT,Buy,0.002,95569.80,ZeroPlusTick,cc3050fb-b902-58e5-bb10-0c322d594d9e,1.911396e+10,0.002,191.1396,0
1763251202.809,BTCUSDT,Buy,0.002,95569.80,ZeroPlusTick,4ca5c4f7-baa6-52aa-84d5-cbace129040d,1.911396e+10,0.002,191.1396,0
1763251202.809,BTCUSDT,Buy,0.001,95569.80,ZeroPlusTick,4a45435f-b47e-5a35-bb02-42e6068f3ca3,9.55698e+09,0.001,95.5698,0
1763251202.809,BTCUSDT,Buy,0.11,95569.80,ZeroPlusTick,10f07bd2-eaf0-5083-aef8-17f2ae319465,1.0512678e+12,0.11,10512.678,0
1763251202.809,BTCUSDT,Buy,0.11,95569.80,ZeroPlusTick,a953624e-ca4c-568d-b076-cbc2133a38ec,1.0512678e+12,0.11,10512.678,0
1763251202.809,BTCUSDT,Buy,0.001,95569.80,ZeroPlusTick,2edcb4bf-75b6-589b-925b-f1388f5e5eca,9.55698e+09,0.001,95.5698,0
1763251202.8146,BTCUSDT,Buy,0.001,95570.00,PlusTick,14421c77-2428-5ab8-9cb3-47def9751fdc,9.557e+09,0.001,95.57000000000001,0
1763251202.8146,BTCUSDT,Buy,0.001,95570.00,ZeroPlusTick,53e34cbb-14a1-55e2-98f2-0ddf0ae9b79a,9.557e+09,0.001,95.57000000000001,0
1763251202.8146,BTCUSDT,Buy,0.001,95570.10,PlusTick,f49b5fee-b8cb-574a-989c-1493c7c67de5,9.557010000000002e+09,0.001,95.57010000000001,0
1763251202.8146,BTCUSDT,Buy,0.001,95572.40,PlusTick,0f8b917d-af23-56db-879c-906cada3c89e,9.55724e+09,0.001,95.5724,0
1763251202.8278,BTCUSDT,Buy,0.001,95572.70,PlusTick,162e9eea-528f-5db8-b50d-e99f657c6127,9.55727e+09,0.001,95.5727,0
1763251202.8282,BTCUSDT,Buy,0.002,95572.70,ZeroPlusTick,d90f08d0-06b5-5817-a016-cb10b86958a5,1.911454e+10,0.002,191.1454,0
1763251202.9569,BTCUSDT,Buy,0.106,95572.70,ZeroPlusTick,4d1a1406-1bdb-594d-9b2a-d3feb02bbf08,1.0130706199999999e+12,0.106,10130.706199999999,0
1763251202.9693,BTCUSDT,Buy,0.066,95572.70,ZeroPlusTick,fb03016c-5b09-599d-8f1b-41e150833d80,6.3077982e+11,0.066,6307.7982,0
