entry_time,exit_time,direction,side,entry_price,exit_price,gross_ticks,net_ticks,gross_ret,net_ret,reason,exit_liquidity,tp_plain,exit_from_cluster,entry_fee,exit_fee,total_fee,hold_ms
1763251206551,1763251207576,sell,-1,95599.40,95581.70,-177.0,156.9999999999999999999998088,0.0001851476055289049931275719,0.0001642269721358083837346259,cluster_exit,maker,95579.40,true,1.0,1.0,2.0,1025
1763251219939,1763251225376,sell,-1,95589.20,95571.00,-182.0,161.99999999999999999999847057,0.0001903980784440083189314274,0.0001694752126809304816862156,cluster_exit,maker,95569.20,true,1.0,1.0,2.0,5437
1763251263942,1763251265859,sell,-1,95576.70,95560.10,-166.0,146.0000000000000000000028673,0.0001736824979309810863944874,0.000152756895770621919359007,cluster_exit,maker,95556.70,true,1.0,1.0,2.0,1917
1763251279335,1763251280757,sell,-1,95612.30,95596.90,-154.0,133.99999999999999999999894826,0.0001610671430349442488048086,0.0001401493322511852554535347,cluster_exit,maker,95592.30,true,1.0,1.0,2.0,1422
1763251305625,1763251319060,sell,-1,95613.50,95576.90,-366.0,345.99999999999999999998489307,0.0003827911330512950577062862,0.0003618735847971259288698772,cluster_exit,maker,95593.50,true,1.0,1.0,2.0,13435
1763251322566,1763251323720,sell,-1,95590.80,95580.00,-108.0,87.99999999999999999999913968,0.0001129815840018077053440289,0.0000920590684459173895395791,cluster_exit,maker,95570.80,true,1.0,1.0,2.0,1154
1763251327468,1763251329157,sell,-1,95592.90,95577.50,-154.0,134.00000000000000000000611795,0.0001610998306359572729773864,0.0001401777747092095751881154,cluster_exit,maker,95572.90,true,1.0,1.0,2.0,1689
1763251383981,1763251386505,sell,-1,95628.20,95610.80,-174.0,153.99999999999999999999521859,0.0001819546953722855810315367,0.0001610403625708734452807854,cluster_exit,maker,95608.20,true,1.0,1.0,2.0,2524
1763251388580,1763251389717,buy,1,95631.50,95660.00,285.0,264.99999999999999999998957617,0.0002980189581884630064361638,0.0002771053470875182340546786,cluster_exit,maker,95651.50,true,1.0,1.0,2.0,1137
1763251406016,1763251407290,sell,-1,95667.70,95640.90,-268.0,247.9999999999999999999970343,0.0002801363469593185578831727,0.0002592306494250410535635329,cluster_exit,maker,95647.70,true,1.0,1.0,2.0,1274
1763251422136,1763251425770,sell,-1,95621.60,95590.60,-310.0,289.99999999999999999999464519,0.000324194533452692697047529,0.0003032787571009060714315594,cluster_exit,maker,95601.60,true,1.0,1.0,2.0,3634
1763251473216,1763251474367,buy,1,95551.10,95582.60,315.0,294.9999999999999999999871006,0.0003296665344511994105771676,0.0003087353259146153210167125,cluster_exit,maker,95571.10,true,1.0,1.0,2.0,1151
1763251509254,1763251511359,buy,1,95512.50,95525.20,127.0,106.99999999999999999999904488,0.0001329668891506347336736029,0.0001120272215678576102604371,cluster_exit,maker,95532.50,true,1.0,1.0,2.0,2105
1763251519472,1763251528888,buy,1,95500.00,95500.40,4.0,-16.0000000000000000000002865,0.0000041884816753926701570681,-0.0000167539267015706806282723,cluster_exit,maker,95520.00,true,1.0,1.0,2.0,9416
1763251574294,1763251576614,sell,-1,95426.90,95408.20,-187.0,166.99999999999999999999990457,0.0001959615160924225768624989,0.000175003065173446900192713,cluster_exit,maker,95406.90,true,1.0,1.0,2.0,2320
1763251576865,1763251577870,sell,-1,95434.00,95405.50,-285.0,264.99999999999999999999417853,0.0002986357063520338663369449,0.0002776788146782069283483874,cluster_exit,maker,95414.00,true,1.0,1.0,2.0,1005
1763251578677,1763251579917,sell,-1,95434.10,95408.40,-257.0,237.00000000000000000000047717,0.0002692957758285560402413812,0.0002483389061142715234910792,cluster_exit,maker,95414.10,true,1.0,1.0,2.0,1240
1763251593920,1763251595908,sell,-1,95459.70,95438.70,-210.0,190.00000000000000000000028638,0.0002199881206414853597905713,0.0001990368710565819921914693,cluster_exit,maker,95439.70,true,1.0,1.0,2.0,1988
1763251598375,1763251600288,sell,-1,95462.20,95450.00,-122.0,101.99999999999999999999579966,0.0001277992755247626809354907,0.0001068485746190638807821316,cluster_exit,maker,95442.20,true,1.0,1.0,2.0,1913
